step,y,x,action,next_y,next_x,reward,done
640,2,0,1,3,0,0,False
644,3,0,2,3,0,0,False
647,3,0,1,4,0,0,False
648,4,0,0,3,0,0,False
651,3,0,1,4,0,0,False
652,4,0,1,5,0,0,False
655,5,0,0,4,0,0,False
656,4,0,2,4,0,0,False
657,4,0,2,4,0,0,False
658,4,0,1,5,0,0,False
665,4,1,3,4,1,0,False
668,4,1,3,4,1,0,False
671,4,1,0,4,1,0,False
674,5,0,0,4,0,0,False
678,4,0,0,3,0,0,False
679,3,0,1,4,0,0,False
681,4,1,3,4,1,0,False
682,4,1,0,4,1,0,False
696,5,2,0,5,2,0,False
697,5,2,0,5,2,0,False
711,4,1,3,4,1,0,False
737,5,0,0,4,0,0,False
740,3,0,3,3,0,0,False
745,3,0,3,3,0,0,False
746,3,0,3,3,0,0,False
765,5,3,0,4,3,0,False
766,4,3,3,4,4,0,False
767,4,4,1,5,4,0,False
821,2,1,0,2,1,0,False
825,2,1,3,2,2,0,False
826,2,2,3,2,3,0,False
827,2,3,1,2,3,0,False
828,2,3,3,2,4,0,False
829,2,4,2,2,3,0,False
830,2,3,2,2,2,0,False
831,2,2,1,2,2,0,False
832,2,2,3,2,3,0,False
833,2,3,0,2,3,0,False
834,2,3,3,2,4,0,False
835,2,4,3,2,4,0,False
836,2,4,2,2,3,0,False
837,2,3,2,2,2,0,False
838,2,2,2,2,1,0,False
853,2,1,3,2,2,0,False
854,2,2,0,1,2,0,False
855,1,2,2,1,2,0,False
856,1,2,0,0,2,0,False
857,0,2,1,1,2,0,False
858,1,2,2,1,2,0,False
859,1,2,3,1,2,0,False
860,1,2,3,1,2,0,False
861,1,2,2,1,2,0,False
862,1,2,2,1,2,0,False
863,1,2,3,1,2,0,False
864,1,2,0,0,2,0,False
865,0,2,1,1,2,0,False
866,1,2,3,1,2,0,False
869,1,2,1,2,2,0,False
870,2,2,1,2,2,0,False
871,2,2,1,2,2,0,False
872,2,2,0,1,2,0,False
874,1,2,1,2,2,0,False
875,2,2,1,2,2,0,False
876,2,2,3,2,3,0,False
877,2,3,3,2,4,0,False
878,2,4,2,2,3,0,False
879,2,3,0,2,3,0,False
880,2,3,0,2,3,0,False
881,2,3,2,2,2,0,False
883,2,2,0,1,2,0,False
885,1,2,0,0,2,0,False
886,0,2,1,1,2,0,False
887,1,2,1,2,2,0,False
888,2,2,2,2,1,0,False
910,5,4,3,5,5,0,False
911,5,5,3,5,6,0,False
912,5,6,3,5,7,0,False
919,5,7,3,5,8,0,False
920,5,8,1,6,8,0,False
921,6,8,1,7,8,0,False
922,7,8,3,7,9,0,False
923,7,9,0,6,9,0,False
924,6,9,2,6,8,0,False
925,6,8,2,6,8,0,False
926,6,8,1,7,8,0,False
927,7,8,3,7,9,0,False
928,7,9,1,7,9,0,False
929,7,9,1,7,9,0,False
930,7,9,2,7,8,0,False
931,7,8,3,7,9,0,False
932,7,9,2,7,8,0,False
934,7,9,1,7,9,0,False
935,7,9,3,7,10,0,False
936,7,10,1,8,10,0,False
937,8,10,0,7,10,0,False
938,7,10,0,6,10,0,False
939,6,10,0,5,10,0,False
940,5,10,1,6,10,0,False
941,6,10,1,7,10,0,False
942,7,10,0,6,10,0,False
943,6,10,3,6,11,0,False
944,6,11,0,5,11,0,False
945,5,11,0,5,11,0,False
946,5,11,2,5,10,0,False
947,5,10,0,4,10,0,False
948,4,10,3,4,10,0,False
949,4,10,1,5,10,0,False
950,5,10,3,5,11,0,False
951,5,11,2,5,10,0,False
952,5,10,0,4,10,0,False
953,4,10,1,5,10,0,False
954,5,10,0,4,10,0,False
955,4,10,0,3,10,0,False
956,3,10,1,4,10,0,False
957,4,10,0,3,10,0,False
958,3,10,3,3,10,0,False
959,3,10,1,4,10,0,False
960,4,10,1,5,10,0,False
961,5,10,3,5,11,0,False
962,5,11,0,5,11,0,False
963,5,11,2,5,10,0,False
964,5,10,1,6,10,0,False
965,6,10,0,5,10,0,False
966,5,10,1,6,10,0,False
967,6,10,2,6,9,0,False
968,6,9,3,6,10,0,False
969,6,10,2,6,9,0,False
970,6,9,0,5,9,0,False
971,5,9,3,5,10,0,False
972,5,10,3,5,11,0,False
973,5,11,2,5,10,0,False
974,5,10,3,5,11,0,False
975,5,11,0,5,11,0,False
976,5,11,1,6,11,0,False
977,6,11,3,6,11,0,False
978,6,11,0,5,11,0,False
979,5,11,1,6,11,0,False
980,6,11,1,7,11,0,False
981,7,11,1,7,11,0,False
982,7,11,1,7,11,0,False
983,7,11,3,7,12,0,False
984,7,12,0,7,12,0,False
985,7,12,2,7,11,0,False
986,7,11,3,7,12,0,False
987,7,12,0,7,12,0,False
988,7,12,3,7,13,0,False
989,7,13,3,7,13,0,False
990,7,13,3,7,13,0,False
991,7,13,2,7,12,0,False
992,7,12,2,7,11,0,False
993,7,11,3,7,12,0,False
994,7,12,0,7,12,0,False
995,7,12,1,7,12,0,False
996,7,12,0,7,12,0,False
997,7,12,2,7,11,0,False
998,7,11,1,7,11,0,False
999,7,11,2,7,10,0,False
1000,7,10,2,7,9,0,False
1001,7,9,0,6,9,0,False
1002,6,9,3,6,10,0,False
1003,6,10,3,6,11,0,False
1004,6,11,1,7,11,0,False
1005,7,11,1,7,11,0,False
1007,7,11,0,6,11,0,False
1008,6,11,0,5,11,0,False
1009,5,11,3,5,11,0,False
1010,5,11,3,5,11,0,False
1011,5,11,0,5,11,0,False
1012,5,11,1,6,11,0,False
1013,6,11,3,6,11,0,False
1014,6,11,0,5,11,0,False
1015,5,11,3,5,11,0,False
1017,5,10,1,6,10,0,False
1018,6,10,3,6,11,0,False
1019,6,11,1,7,11,0,False
1020,7,11,3,7,12,0,False
1021,7,12,3,7,13,0,False
1022,7,13,2,7,12,0,False
1023,7,12,1,7,12,0,False
1024,7,12,3,7,13,0,False
1025,7,13,1,7,13,0,False
1026,7,13,2,7,12,0,False
1027,7,12,1,7,12,0,False
1029,7,12,3,7,13,0,False
1030,7,13,2,7,12,0,False
1031,7,12,1,7,12,0,False
1033,7,13,3,7,13,0,False
1034,7,13,3,7,13,0,False
1035,7,13,1,7,13,0,False
1043,7,13,1,7,13,0,False
1044,7,13,1,7,13,0,False
1046,7,13,0,6,13,0,False
1047,6,13,0,5,13,0,False
1048,5,13,3,5,13,0,False
1049,5,13,0,4,13,0,False
1050,4,13,3,4,13,0,False
1051,4,13,2,4,13,0,False
1052,4,13,0,3,13,0,False
1053,3,13,1,4,13,0,False
1054,4,13,3,4,13,0,False
1055,4,13,3,4,13,0,False
1056,4,13,2,4,13,0,False
1057,4,13,1,5,13,0,False
1058,5,13,0,4,13,0,False
1059,4,13,1,5,13,0,False
1060,5,13,1,6,13,0,False
1061,6,13,1,7,13,0,False
1064,7,13,0,6,13,0,False
1065,6,13,3,6,13,0,False
1066,6,13,2,6,13,0,False
1067,6,13,1,7,13,0,False
1069,7,13,0,6,13,0,False
1070,6,13,1,7,13,0,False
1071,7,13,0,6,13,0,False
1072,6,13,0,5,13,0,False
1073,5,13,1,6,13,0,False
1074,6,13,2,6,13,0,False
1075,6,13,2,6,13,0,False
1076,6,13,0,5,13,0,False
1077,5,13,1,6,13,0,False
1078,6,13,0,5,13,0,False
1079,5,13,1,6,13,0,False
1080,6,13,3,6,13,0,False
1081,6,13,2,6,13,0,False
1083,5,13,0,4,13,0,False
1084,4,13,2,4,13,0,False
1085,4,13,0,3,13,0,False
1086,3,13,0,2,13,0,False
1087,2,13,1,3,13,0,False
1088,3,13,0,2,13,0,False
1089,2,13,1,3,13,0,False
1090,3,13,1,4,13,0,False
1091,4,13,3,4,13,0,False
1093,4,13,0,3,13,0,False
1094,3,13,0,2,13,0,False
1095,2,13,2,2,12,0,False
1096,2,12,2,2,12,0,False
1097,2,12,3,2,13,0,False
1098,2,13,0,1,13,0,False
1099,1,13,3,1,13,0,False
1100,1,13,3,1,13,0,False
1101,1,13,1,2,13,0,False
1102,2,13,3,2,13,0,False
1103,2,13,1,3,13,0,False
1104,3,13,0,2,13,0,False
1105,2,13,3,2,13,0,False
1106,2,13,1,3,13,0,False
1107,3,13,3,3,13,0,False
1108,3,13,2,3,12,0,False
1109,3,12,0,2,12,0,False
1110,2,12,2,2,12,0,False
1111,2,12,1,3,12,0,False
1112,3,12,3,3,13,0,False
1113,3,13,3,3,13,0,False
1114,3,13,3,3,13,0,False
1115,3,13,2,3,12,0,False
1116,3,12,0,2,12,0,False
1117,2,12,0,1,12,0,False
1118,1,12,1,2,12,0,False
1119,2,12,1,3,12,0,False
1120,3,12,0,2,12,0,False
1121,2,12,1,3,12,0,False
1122,3,12,0,2,12,0,False
1123,2,12,3,2,13,0,False
1124,2,13,3,2,13,0,False
1125,2,13,3,2,13,0,False
1126,2,13,0,1,13,0,False
1127,1,13,0,0,13,1,True
14,12,10,2,12,10,0,False
22,11,10,0,10,10,0,False
23,10,10,1,11,10,0,False
27,10,10,3,10,11,0,False
28,10,11,0,9,11,0,False
29,9,11,2,9,10,0,False
30,9,10,0,8,10,0,False
31,8,10,1,9,10,0,False
32,9,10,2,9,10,0,False
33,9,10,3,9,11,0,False
34,9,11,2,9,10,0,False
35,9,10,3,9,11,0,False
